plot_id,treatment,total_emission
0060-00021,Burn,95.04754909
0060-00027,Burn,81.57433091
0060-00101,Burn,94.06392
0060-00102,Burn,247.1456727
0060-00103,Burn,91.35091636
0060-00104,Burn,82.44698182
0060-00105,Burn,67.27174909
0060-00106,Burn,122.2715782
0060-00107,Burn,71.96107636
0060-00109,Burn,75.45255273
0060-00111,Burn,128.6140036
0060-00112,Burn,60.96869455
0060-00113,Burn,69.55650545
0060-00114,Burn,190.54848
0060-00116,Burn,65.33228727
0060-00117,Burn,64.64595273
0060-00119,Burn,86.73361091
0340-00006,Burn,50.22901091
0340-00013,Burn,67.15422545
0340-00024,Burn,113.1393382
0340-00025,Burn,61.43036727
0340-00026,Burn,51.70652727
0340-00103,Burn,115.4791745
0340-00104,Burn,62.55121091
0340-00108,Burn,55.82175273
0340-00109,Burn,40.94612727
0340-00111,Burn,151.4516618
0340-00112,Burn,100.4919382
0340-00113,Burn,109.0178073
0340-00114,Burn,109.1794691
0340-00116,Burn,28.12467273
0340-00117,Burn,67.85684727
0340-00121,Burn,36.73570909
0340-00122,Burn,123.8437855
0340-00123,Burn,39.84165818
0340-00124,Burn,173.8453418
0400-00002,Burn,23.47617818
0400-00009,Burn,94.77510545
0400-00022,Burn,115.6328509
0400-00023,Burn,59.11217455
0400-00024,Burn,96.28837091
0400-00101,Burn,76.03756364
0400-00102,Burn,43.03599273
0400-00103,Burn,46.05288
0400-00104,Burn,84.17313818
0400-00105,Burn,61.41488727
0400-00106,Burn,57.13576364
0400-00108,Burn,86.98244727
0400-00109,Burn,105.5399564
0400-00110,Burn,126.9644727
0400-00116,Burn,159.1607127
0400-00118,Burn,52.35197455
0400-00119,Burn,89.70333818
0400-00120,Burn,63.49905818
0400-00121,Burn,95.47192364
0180-00008,MechBurn,111.0730691
0180-00010,MechBurn,71.14850182
0180-00018,MechBurn,54.52519636
0180-00101,MechBurn,108.1601236
0180-00102,MechBurn,77.24133818
0180-00107,MechBurn,75.81790909
0180-00108,MechBurn,76.46705455
0180-00109,MechBurn,65.15845091
0180-00110,MechBurn,74.05514182
0180-00111,MechBurn,43.32253091
0180-00114,MechBurn,88.91358545
0380-00002,MechBurn,59.32462909
0380-00004,MechBurn,75.86324727
0380-00006,MechBurn,35.82292364
0380-00010,MechBurn,29.74773818
0380-00015,MechBurn,75.96328364
0380-00102,MechBurn,59.31742909
0380-00103,MechBurn,83.39815636
0380-00104,MechBurn,106.6564364
0380-00107,MechBurn,64.57482545
0380-00110,MechBurn,98.52193091
0380-00112,MechBurn,104.6967382
0380-00113,MechBurn,95.46677455
0380-00114,MechBurn,127.7036509
0380-00117,MechBurn,109.0336909
0380-00118,MechBurn,109.467
0380-00119,MechBurn,110.3565818
0380-00120,MechBurn,84.92724
0380-00125,MechBurn,110.4187418
0380-00127,MechBurn,248.5330582
0570-00011,MechBurn,67.68198545
0570-00013,MechBurn,38.37585818
0570-00017,MechBurn,85.87879636
0570-00023,MechBurn,116.7545345
0570-00025,MechBurn,85.01935636
0570-00101,MechBurn,84.89830909
0570-00102,MechBurn,67.99084364
0570-00103,MechBurn,86.15582182
0570-00104,MechBurn,56.86788
0570-00105,MechBurn,128.1675055
0570-00106,MechBurn,151.0556727
0570-00107,MechBurn,102.8747455
0570-00110,MechBurn,106.7191636
0570-00111,MechBurn,80.54871273
0570-00112,MechBurn,67.24198909
0570-00113,MechBurn,85.22866909
0570-00115,MechBurn,49.42726909
0570-00119,MechBurn,107.6953855
