treatment,plot_id,comp,wood_removal
mech,0190-00010,190,7.408523275
mech,0190-00024,190,28.1068815
mech,0190-00025,190,4.601332122
mech,0190-00026,190,7.239220788
mech,0190-00102,190,6.412350139
mech,0190-00106,190,31.52351624
mech,0190-00108,190,47.80089723
mech,0190-00110,190,42.2641067
mech,0190-00111,190,34.79537521
mech,0350-00002,350,55.34750844
mech,0350-00003,350,24.5932074
mech,0350-00005,350,18.3818394
mech,0350-00101,350,89.33904366
mech,0350-00102,350,14.59777565
mech,0350-00103,350,12.51138231
mech,0350-00105,350,0
mech,0350-00106,350,10.61794815
mech,0350-00109,350,36.41135408
mech,0350-00110,350,7.645884182
mech,0350-00111,350,16.82236985
mech,0350-00112,350,9.46381395
mech,0350-00113,350,14.81336955
mech,0350-00115,350,43.09174449
mech,0350-00116,350,14.68185885
mech,0350-00117,350,88.60582962
mech,0350-00119,350,34.04802543
mech,0490-00004,490,16.52637172
mech,0490-00008,490,24.52111553
mech,0490-00018,490,29.29872931
mech,0490-00020,490,70.9776291
mech,0490-00033,490,56.49513429
mech,0490-00035,490,77.81513427
mech,0490-00041,490,38.39885168
mech,0490-00042,490,24.07922309
mech,0490-00102,490,83.24622469
mech,0490-00103,490,115.5496958
mech,0490-00104,490,123.1636709
mech,0490-00105,490,5.860632891
mech,0490-00110,490,142.8913988
mech,0490-00115,490,150.5272876
mech,0490-00117,490,44.08399383
mech,0490-00120,490,21.79913462
mech,0490-00122,490,0
mech,0490-00124,490,117.8349495
mech,0490-00125,490,15.49956328
mech,0490-00126,490,65.37940612
mechburn,0180-00008,180,0
mechburn,0180-00010,180,97.33658613
mechburn,0180-00018,180,0
mechburn,0180-00101,180,97.61502144
mechburn,0180-00102,180,34.10662441
mechburn,0180-00107,180,33.07531636
mechburn,0180-00108,180,6.31517
mechburn,0180-00109,180,12.68534342
mechburn,0180-00110,180,24.07955612
mechburn,0180-00111,180,31.32482695
mechburn,0180-00114,180,2.660167172
mechburn,0380-00002,380,0
mechburn,0380-00004,380,0
mechburn,0380-00006,380,46.68994966
mechburn,0380-00010,380,21.44013442
mechburn,0380-00015,380,0
mechburn,0380-00102,380,20.4674209
mechburn,0380-00103,380,144.5084805
mechburn,0380-00104,380,0.928595536
mechburn,0380-00107,380,41.59632511
mechburn,0380-00110,380,90.16746223
mechburn,0380-00112,380,9.620604011
mechburn,0380-00113,380,44.95074699
mechburn,0380-00114,380,5.803009106
mechburn,0380-00117,380,3.289441995
mechburn,0380-00118,380,2.688094813
mechburn,0380-00119,380,9.697657993
mechburn,0380-00120,380,8.645991921
mechburn,0380-00125,380,16.55255231
mechburn,0380-00127,380,19.37798138
mechburn,0570-00011,570,0
mechburn,0570-00013,570,12.21226561
mechburn,0570-00017,570,5.827650709
mechburn,0570-00023,570,10.93256656
mechburn,0570-00025,570,18.14444907
mechburn,0570-00101,570,4.711922672
mechburn,0570-00102,570,9.369125111
mechburn,0570-00103,570,0
mechburn,0570-00104,570,3.937209162
mechburn,0570-00105,570,27.29197225
mechburn,0570-00106,570,18.52443942
mechburn,0570-00107,570,19.55976415
mechburn,0570-00110,570,19.00686673
mechburn,0570-00111,570,6.621439534
mechburn,0570-00112,570,45.4383101
mechburn,0570-00113,570,2.769102157
mechburn,0570-00115,570,5.571878201
mechburn,0570-00119,570,15.36224686
