"","burn_post_18","burn_pre_treatment","control_post_18","control_pre_treatment","mech_post_18","mech_pre_treatment","mechburn_post_18","mechburn_pre_treatment"
"N","56","56","53","53","46","46","48","48"
"tree_Live","186.3274","149.8403","244.9997","171.5542","171.7898","169.8713","133.8544","188.4533"
"tree_Snag"," 7.107054"," 6.264368","10.294854"," 4.513064"," 7.196556","10.210980","21.772980"," 6.105853"
"understory","0.5208739","0.6043642","0.4580675","0.7558584","0.1705743","1.2410548","0.5851571","0.5643439"
"duff"," 3.975960","17.512502","22.342921","18.599992","18.015653","17.641658"," 5.456124","22.790855"
"litter","10.218704"," 8.731814","24.122705"," 9.111210","19.076270"," 9.000431"," 7.734067"," 9.650513"
"fines","3.734070","5.959641","6.156650","5.729070","6.798019","4.771709","3.003518","6.027160"
"coarse","10.105898","15.164459","10.895072","11.431383"," 7.088610","15.409409"," 5.341482","13.742217"
"soil","60.82673","57.62578","71.24376","58.66025","53.23250","57.45681","56.75575","57.83897"
"all_carbon_measured","282.8167","261.7033","390.5137","280.3550","283.3680","285.4817","234.5035","305.1732"
"se_tree_live","10.672742"," 8.365940","14.698148","10.308084","11.663083"," 8.603107"," 9.912846","11.428305"
"se_tree_snag","1.559849","2.644409","2.067564","1.632024","2.190359","2.503995","5.913563","1.494652"
"se_understory","0.13387024","0.13038775","0.11211998","0.12904162","0.07945328","0.21834667","0.13787649","0.12165935"
"se_duff","0.548502","2.064995","1.921072","2.481748","2.014103","1.947374","1.370620","1.796189"
"se_litter","0.9976759","0.5970418","3.0784169","0.5996061","3.3159135","0.6840708","0.7930286","0.5333262"
"se_fines","0.3032337","0.4926428","0.6909261","0.5854494","0.5804349","0.4465791","0.3466815","0.4968023"
"se_coarse","2.492344","2.501075","2.365901","1.947475","1.537509","3.304940","1.297073","1.948280"
"se_soil","2.089255","1.283326","2.580651","1.204441","1.885581","1.395294","2.421603","1.478259"
"se_all_carbon_measured","10.61323","10.48756","15.18201","11.14838","11.55249","10.05479","10.56454","11.97349"
